rank,name,tournament,year,variant,offsteam_listings,offsteam_censored,steam_volume_30d,lis_price,steam_price,steam_as_of,cagr_3y,history_years
36,Sticker | Boombl4 (Foil) | Berlin 2019,Berlin 2019,2019,Foil,4,0,73,3.785,0.48575,2026-02-02,0.36024926555632186,6.47
37,Sticker | ESL (Foil) | Cologne 2016,Cologne 2016,2016,Foil,4,0,13,77.635,22.914,2026-03-02,0.32910037371260525,9.68
38,Sticker | Astralis (Foil) | Berlin 2019,Berlin 2019,2019,Foil,3,0,41,26.01,4.595,2026-02-01,0.3282178344012747,6.47
39,Sticker | CR4ZY (Foil) | Berlin 2019,Berlin 2019,2019,Foil,8,0,32,20.5,9.356,2026-01-29,0.32632090081750187,6.46
40,Sticker | BIG | London 2018,London 2018,2018,Paper,12,0,63,0.84,1.101,2026-02-01,0.3197264933269306,7.43
41,Sticker | Astralis | Berlin 2019,Berlin 2019,2019,Paper,5,0,546,0.47,0.7139791666666666,2025-12-07,0.31637734880117097,6.32
42,Sticker | Team Liquid (Foil) | Cologne 2016,Cologne 2016,2016,Foil,12,0,5,71.86500000000001,91.44,2026-03-07,0.31535231956291043,9.7
43,Sticker | Aleksib | Katowice 2019,Katowice 2019,2019,Paper,4,0,37,3.06,1.59525,2026-02-03,0.3122241234744092,6.99
44,Sticker | Copenhagen Flames (Foil) | Stockholm 2021,Stockholm 2021,2021,Foil,21,0,81,3.98,4.617875,2026-01-31,0.27442476110174385,4.28
45,Sticker | Fnatic (Holo) | Cologne 2016,Cologne 2016,2016,Holo,14,0,20,15.64,18.645,2026-03-11,0.26908518200693954,9.71
46,Sticker | Astralis (Foil) | Cologne 2016,Cologne 2016,2016,Foil,13,0,4,77.97,61.5955,2026-03-11,0.25569160650026745,9.71
47,Sticker | DreamEaters (Foil) | Berlin 2019,Berlin 2019,2019,Foil,6,0,30,10.51,3.8715,2026-05-09,0.24545253841234693,6.74
48,Sticker | Astralis (Foil) | Stockholm 2021,Stockholm 2021,2021,Foil,6,0,41,21.84,8.876000000000001,2026-02-03,0.24261680226861615,4.29
49,Sticker | Astralis (Holo) | Cologne 2016,Cologne 2016,2016,Holo,22,0,14,46.31,37.183,2026-03-09,0.24238311166170368,9.71
50,Sticker | Astralis | Boston 2018,Boston 2018,2018,Paper,3,0,43,21.41,4.9695,2025-10-05,0.23896135906144012,7.79
51,Sticker | SK Gaming | Boston 2018,Boston 2018,2018,Paper,11,0,72,4.86,4.460333333333334,2026-02-03,0.22726024068462447,8.12
52,Sticker | BIG | Krakow 2017,Krakow 2017,2017,Paper,6,0,116,1.065,1.3174285714285716,2026-02-02,0.21500600929140812,8.57
53,Sticker | AdreN | Boston 2018,Boston 2018,2018,Paper,6,0,7,1.66,1.3054999999999999,2026-02-04,0.20886409681306772,8.13
54,Sticker | Astralis | Krakow 2017,Krakow 2017,2017,Paper,5,0,76,1.76,2.0945833333333335,2026-02-03,0.20236649440608545,8.58
55,Sticker | Astralis (Foil) | Atlanta 2017,Atlanta 2017,2017,Foil,17,0,3,136.36,112.4095,2025-10-31,0.19721090357611115,8.8
56,Sticker | AdreN (Foil) | Krakow 2017,Krakow 2017,2017,Foil,22,0,3,31.01,41.274,2026-02-02,0.19197661914491748,8.57
